prices,address,no_beds,baths,sqft
640000, 8012 Evadean Cir Austin TX 78745 ,4,3,3302
595000, 4618 Bennett Ave Austin TX 78751 ,2,1,762
175500, 935 La Posada Dr #133 Austin TX 78752 ,1,1,517
427000, 1804 Capital Pkwy APT 18 Austin TX 78746 ,2,2,1220
140000, 1840 Burton Dr APT 215 Austin TX 78741 ,1,2,378
549000, 9517 Prescott Dr Austin TX 78749 ,3,2,2255
249000, 2510 San Gabriel St Austin TX 78705 ,2,2,705
450000, 11101 Hidden Bluff Dr Austin TX 78754 ,3,2,2068
1299500, 10105 Vista Del Sol Austin TX 78733 ,4,3,3085
410000, 8305 Spring Valley Dr Austin TX 78736 ,3,2,1732
445000, 1702 S Lamar Blvd UNIT 21 Austin TX 78704 ,2,3,1264
275000, 3101 Davis Ln APT 8602 Austin TX 78748 ,2,3,1393
485000, 2921 E 16th St UNIT 2 Austin TX 78702 ,2,3,930
410000, 7337 Menchaca Rd #22 Austin TX 78745 ,3,3,1886
1200000, 10527 Indigo Broom Loop Austin TX 78733 ,5,4,4464
425000, 13006 Wingate Way Austin TX 78727 ,4,2,2013
440000, 908 Berrywood Dr Austin TX 78753 ,3,2,1543
300000, 10300 Morado Cv APT 403 Austin TX 78759 ,2,3,1205
600000, 6209 Smith Oak Trl Austin TX 78749 ,4,2,2185
1899000, 3919 Balcones Dr Austin TX 78731 ,4,4,3288
350000, 2933 Eckert St Austin TX 78722 ,2,1,766
315000, 6716 Sabrina Dr Austin TX 78747 ,4,3,1586
480000, 405 W North Loop Blvd #1 Austin TX 78751 ,3,2,1312
205000, 6718 Silvermine Dr APT 602 Austin TX 78736 ,2,2,1072
179000, 6910 Hart Ln APT 308 Austin TX 78731 ,1,1,655
281990, The Bellvue Plan Tiermo ,3,2,1415
399999, 10409 Premier Park St Austin TX 78747 ,4,3,2314
476000, 1406 E M Franklin Ave #2 Austin TX 78721 ,3,3,1270
825000, 11612 Sierra Nevada Austin TX 78759 ,4,4,3016
460000, 9520 Morgan Creek Dr Austin TX 78717 ,3,2,2281
350000, 10549 Bilbrook Pl Austin TX 78748 ,3,2,1468
185000, 7685 Northcross Dr UNIT 626 Austin TX 78757 ,1,1,650
225000, 12513 Mexicana Cv Del Valle TX 78617 ,3,3,1659
259900, 6208 Walker Ln Austin TX 78741 ,2,1,510
350000, 902 Philco Dr #A Austin TX 78745 ,2,1,826
540000, 8210 Shenandoah Dr Austin TX 78753 ,4,3,3274
499000, 5412 Golden Canary Ln Austin TX 78723 ,3,3,1964
345000, 8317 Chick Pea Ln Austin TX 78748 ,3,2,1304
575000, 1811 Crown Dr Austin TX 78745 ,3,3,1984
1200000, 1303 Bonham Ter Austin TX 78704 ,3,3,2081
525000, 2803 E 14th St Austin TX 78702 ,4,2,1568
1695000, 4904 Balcones Dr Austin TX 78731 ,4,4,3733
299000, 2215 Post Rd APT 2116 Austin TX 78704 ,2,2,905
499900, 13344 Tamayo Dr Austin TX 78729 ,3,2,2420
478499, 5309 Link Ave Austin TX 78751 ,3,2,1018
1850000, 2415 Hartford Rd #A Austin TX 78703 ,3,3,3566
700000, 7905 Crandall Rd Austin TX 78739 ,4,4,2901
199900, 2401 Manor Rd APT 208 Austin TX 78722 ,2,1,820
321990, The Harper (S101) Plan Easton Park ,2,3,1495
315000, 7107 Silver Star Ln Austin TX 78744 ,2,3,1527
399900, 908 Nueces St UNIT 34 Austin TX 78701 ,1,1,862
539999, 2000 Westfalian Trl APT 5 Austin TX 78732 ,4,3,2747
