prices,address,no_beds,baths,sqft
685000, 10835 Wheatland Ave Sunland CA 91040 ,2,2,1560
5000000, 12471 Mulholland Dr Beverly Hills CA 90210 ,5,6,5214
2200000, 16 Quarterdeck St UNIT 302 Los Angeles CA 90292 ,2,2,1650
2989000, 1046 Rose Ave Venice CA 90291 ,4,5,3175
299000, 5460 White Oak Ave UNIT F302 Encino CA 91316 ,2,2,990
2999999, 4931 Rubio Ave Encino CA 91436 ,5,6,4220
6495000, 8971 Shoreham Dr West Hollywood CA 90069 ,4,7,6032
559000, 18643 Burbank Blvd #11 Tarzana CA 91356 ,2,3,1477
1799999, 3377 Charleston Way Los Angeles CA 90068 ,3,4,2320
2125000, 10309 Mississippi Ave Los Angeles CA 90025 ,3,2,1946
699000, 926 1/2 Maltman Ave Los Angeles CA 90026 ,1,1,676
598000, 4537 Saint Elmo Dr Los Angeles CA 90019 ,4,3,1397
848000, 1717 S Berendo St Los Angeles CA 90006 ,4,3,1774
2399000, 11872 Weir St Los Angeles CA 90230 ,5,6,2650
429900, 312 W 5th St APT 310 Los Angeles CA 90013 ,1,1,940
1995000, 363 N Flores St Los Angeles CA 90048 ,3,2,1780
2695000, 4923 Rhodes Ave Valley Village CA 91607 ,5,5,3477
16500000, 1261 Tower Grove Dr Beverly Hills CA 90210 ,4,6,6158
650000, 1724 248th St Lomita CA 90717 ,3,1,976
2575000, 9318 Bolton Rd Los Angeles CA 90034 ,5,4,2343
625000, 2275 W 25th St SPACE 94 San Pedro CA 90732 ,3,2,1520
598000, 11941 Kling St #28 Valley Village CA 91607 ,2,2,1130
610000, 7740 Redlands St UNIT G2085 Los Angeles CA 90293 ,2,2,1048
975000, 1769 College View Pl Los Angeles CA 90041 ,3,2,1562
1289000, 2253 Hill Dr Los Angeles CA 90041 ,4,2,2149
2150000, 16541 Las Casas Pl Pacific Palisades CA 90272 ,3,3,2390
15500000, 3316 Clerendon Rd Beverly Hills CA 90210 ,8,11,11000
1795000, 4164 Kenyon Ave Los Angeles CA 90066 ,3,3,1967
649999, 13886 Paxton St Pacoima CA 91331 ,3,2,1128
2295000, 1648 N Beverly Glen Blvd Los Angeles CA 90077 ,3,3,1754
8395000, 701 Rochedale Way Los Angeles CA 90049 ,5,8,7040
875000, 22236 Del Valle St Woodland Hills CA 91364 ,3,2,1538
850000, 1240 S Corning St APT 203 Los Angeles CA 90035 ,2,2,1312
1795000, 2587 Glendower Ave Los Angeles CA 90027 ,2,2,1646
825000, Elinda Pl Sun Valley CA 91352 ,3,2,1242
399000, 7800 Topanga Canyon Blvd APT 116 Los Angeles CA 91304 ,3,2,1169
449900, 9216 Tobias Ave UNIT 22 Los Angeles CA 91402 ,3,3,1342
13900000, 1401 Londonderry Pl Los Angeles CA 90069 ,6,11,11300
998000, 641 Cross Ave Los Angeles CA 90065 ,3,3,1484
39950000, 717 N Tigertail Rd Los Angeles CA 90049 ,9,16,30000
1479000, 5854 Jamieson Ave Encino CA 91316 ,4,4,2652
3750000, 4130 Parva Ave Los Angeles CA 90027 ,5,6,5492
1195000, 23046 Oxnard St Woodland Hills CA 91367 ,4,4,3034
1400000, 10013 Westwanda Dr Beverly Hills CA 90210 ,2,2,1010
5995000, 2280 Mandeville Canyon Rd Los Angeles CA 90049 ,5,6,5083
2848000, 725 Jacon Way Pacific Palisades CA 90272 ,4,3,2600
530000, 1017 Mark St Los Angeles CA 90033 ,4,2,1709
16495000, 9380 Sierra Mar Dr Los Angeles CA 90069 ,5,6,6300
1350000, 801 Chestnut Ave Los Angeles CA 90042 ,3,2,1471
20999999, 1714 Stone Canyon Rd Los Angeles CA 90077 ,8,12,17415
1549000, 7275 W 90th St Los Angeles CA 90045 ,4,2,2112
1499000, 3305 Childs Ct Los Angeles CA 90039 ,2,2,1503
14595000, 2331 Chislehurst Dr Los Angeles CA 90027 ,7,10,10004
19880000, 9152 Janice Pl Beverly Hills CA 90210 ,7,9,8520
18500000, 1307 Sierra Alta Way Los Angeles CA 90069 ,5,10,13820
685000, 20442 Runnymede St Winnetka CA 91306 ,4,3,2010
995000, 4440 Canoga Ave Woodland Hills CA 91364 ,3,3,2480
489999, 316 W 16th St San Pedro CA 90731 ,1,1,559
59500000, 1201 Tower Grove Dr Beverly Hills CA 90210 ,5,8,1643
2849000, 909 S Curson Ave Los Angeles CA 90036 ,4,4,3184
3499000, 3132 Hollyridge Dr Los Angeles CA 90068 ,4,5,2438
699000, 16552 Rinaldi St Granada Hills CA 91344 ,5,3,1880
249900, 26200 Frampton Ave SPACE 71 Harbor City CA 90710 ,3,2,1344
2695000, 16723 W Sunset Blvd Pacific Palisades CA 90272 ,3,4,2052
1349000, 3707 Glenfeliz Blvd Los Angeles CA 90039 ,2,3,1441
274999, 5460 White Oak Ave UNIT H307 Los Angeles CA 91316 ,1,2,712
13995000, 140 S Cliffwood Ave Los Angeles CA 90049 ,6,9,9876
